company_name,company_industry
Nordstrom,Retail
Walmart,Retail
Montage International,Hospitality
PNC Financial Services Group,Banking
Intermountain Health,Hospitals and Health Care
Smithfield Foods,Food and Beverage Manufacturing
Signet Jewelers,Retail
Extra Space Storage,Real Estate
"Sensata Technologies, Inc.","Appliances, Electrical, and Electronics Manufacturing"
State Street,Financial Services
Levi Strauss,Retail Apparel and Fashion
University of Texas at Austin,Education
JLL,Real Estate
Levi Strauss & Co.,Retail Apparel and Fashion
Salesforce,Software Development
University of Virginia,Higher Education
Carvana,"Technology, Information and Internet"
VCA Animal Hospitals,Veterinary Services
Parsons,Defense and Space Manufacturing
General Dynamics Information Technology,IT Services and IT Consulting
Cornell University,Higher Education
Bronson Healthcare,Hospitals and Health Care
Jabil,"Appliances, Electrical, and Electronics Manufacturing"
The University of Texas at Austin,Higher Education
Mastercard,IT Services and IT Consulting
Penn State University,Higher Education
Healogics,Hospitals and Health Care
Florida Atlantic University,Higher Education
Arkansas Children's,Hospitals and Health Care
Guardian Life,Financial Services
Target,Retail
Skechers,Retail
Claire's,Retail
Pfizer,Pharmaceutical Manufacturing
Children's Healthcare of Atlanta,Hospitals and Health Care
VCU Health System,Hospitals and Health Care
Oregon Health Authority,Government Administration
Maricopa County,Government Administration
The Rector & Visitors of the University of Virginia,Education
CrowdStrike,Computer and Network Security
Antech Diagnostics,Veterinary Services
Flex,"Appliances, Electrical, and Electronics Manufacturing"
Motorola Solutions,Telecommunications
"Hy-Vee, Inc.",Retail
Cencora,Hospitals and Health Care
RELX Group,IT Services and IT Consulting
WVU Medicine,Hospitals and Health Care
The Ohio State University,Higher Education
Blue Origin,Aviation and Aerospace Component Manufacturing
Vanderbilt University Medical Center,Hospitals and Health Care
Madison Area Technical College,Higher Education
Dominion,Construction
GameStop,Retail
YAI - Seeing Beyond Disability,Non-profit Organizations
Blue Cross and Blue Shield of Louisiana,Insurance
University Of Washington,Higher Education
"Ryder System, Inc.","Transportation, Logistics, Supply Chain and Storage"
WP Engine,IT Services and IT Consulting
Global Payments,Financial Services
Kyndryl,IT Services and IT Consulting
Admiral Beverage Corporation,Wholesale
Okta,Software Development
Autodesk,Software Development
NAPA Auto Parts,Retail
NASDAQ,Financial Services
NVIDIA,Computer Hardware Manufacturing
Kimberly-Clark,Manufacturing
Red Hat,Software Development
"University of Nevada, Las Vegas",Education
Wake Forest University,Higher Education
Commonwealth of Virginia,"Transportation, Logistics, Supply Chain and Storage"
Unisys,IT Services and IT Consulting
Washington University in St. Louis,Higher Education
ICF,Business Consulting and Services
The Ohio State University Wexner Medical Center,Hospitals and Health Care
TransUnion,IT Services and IT Consulting
Regis University,Higher Education
Michael Kors,Retail Apparel and Fashion
Five Below,Retail
Xylem,Industrial Machinery Manufacturing
Regal Rexnord Corporation,Machinery Manufacturing
University of Arkansas,Higher Education
Fortrea,Hospitals and Health Care
Genpact,Business Consulting and Services
Southern Illinois Healthcare,Hospitals and Health Care
Citi,Financial Services
College of Southern Nevada,Higher Education
Avantor,Pharmaceutical Manufacturing
7-Eleven,Retail
GEICO,Insurance
Whole Foods Market,Retail
Fox Corporation,Broadcast Media Production and Distribution
Lithia & Driveway,Retail Motor Vehicles
DaVita,Hospitals and Health Care
The Salvation Army,Non-profit Organizations
Ingram Micro,IT Services and IT Consulting
Marshfield Clinic Health System,Hospitals and Health Care
Analog Devices,Semiconductor Manufacturing
Menasha Corporation,Packaging and Containers Manufacturing
Sam's Club,Retail
Blue Yonder,Software Development
Cushman & Wakefield,Real Estate
University of Miami,Higher Education
3M,Industrial Machinery Manufacturing
Texas A&M University,Higher Education
The State of Oklahoma,Hospitals and Health Care
Thermo Fisher Scientific,Biotechnology Research
GlobalFoundries,Semiconductor Manufacturing
Gartner,Information Services
Summit Health,Hospitals and Health Care
"Multnomah County, OR",Government Administration
Sensata Technologies,"Appliances, Electrical, and Electronics Manufacturing"
Comcast,Telecommunications
Wolverine Worldwide,Retail Apparel and Fashion
SS&C,Financial Services
Gundersen Health System,Hospitals and Health Care
CoStar Group,Real Estate
Gordon Food Service,Food and Beverage Services
Dallas College,Higher Education
Mango,Software Development
DXC Technology,IT Services and IT Consulting
Discovery Land Company,Real Estate
Blue Cross Blue Shield of Louisiana,Hospitals and Health Care
The Walt Disney Company,Entertainment Providers
KLA,Semiconductor Manufacturing
Netflix,Entertainment Providers
American Red Cross,Non-profit Organizations
M&T Bank,Financial Services
BJ's Wholesale Club,Retail
Chevron,Oil and Gas
Arizona State University,Higher Education
Brunswick Corporation,Manufacturing
Washington State University,Higher Education
University of Central Florida,Higher Education
Georgetown University,Higher Education
Carter's,Retail
NCR Atleos,Banking
The University of Chicago,Education
Avis Budget Group,Travel Arrangements
World Vision International,Non-profit Organizations
"Nexstar Media Group, Inc.",Broadcast Media Production and Distribution
Montclair State University,Higher Education
Michaels Stores,Retail
University of Washington,Higher Education
Yale University,Higher Education
BorgWarner,Motor Vehicle Manufacturing
RangeWater Real Estate,Real Estate
Goodwill of Central and Northern Arizona,Non-profit Organizations
Sedgwick,Insurance
Campbell's,Food and Beverage Manufacturing
Denver Health,Hospitals and Health Care
Nevada State College,Education
Wells Fargo,Financial Services
Nationwide Mutual Insurance Company,Insurance
Carter's|OshKosh,Retail Apparel and Fashion
Health Care Service Corporation,Hospitals and Health Care
T-Mobile,Telecommunications
Weir Group,Mining
Skookum,Non-profit Organizations
AIG,Insurance
athenahealth,IT Services and IT Consulting
Snap Inc.,Software Development
Northrop Grumman,Defense and Space Manufacturing
Viatris,Pharmaceutical Manufacturing
Genesys,Software Development
Marriott Vacations Worldwide,Hospitality
Banner Health,Hospitals and Health Care
The Hartford,Financial Services
State of Oregon,Government Administration
Carters Inc.,Retail Apparel and Fashion
ERCOT/Electric Reliability Council of Texas,Utilities
University Health KC,Hospitals and Health Care
"Ferguson Enterprises, Inc.",Biotechnology
Louisiana State University,Higher Education
Brown & Brown Insurance,Insurance
KeyBank,Banking
Copeland,Climate Technology Product Manufacturing
CHSGa,Hospitals and Health Care
Airgas,Chemical Manufacturing
Brown-Forman,Beverage Manufacturing
Broadcom,Semiconductor Manufacturing
OneSource Virtual,IT Services and IT Consulting
Atrium Hospitality,Hospitality
Oregon Department of Transportation,Government Administration
Bristol Myers Squibb,Pharmaceutical Manufacturing
